,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,98.05,75.7,67.6,75.85,49.5
vertical,,99.15,77.85,50.8,50.45
xor_quadrant,,,52.8,49.75,50.5
horizontal,,,,98.6,50.85
circle,,,,,75.5
