,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,99.35,79.4,74.2,48.9,49.75
xor_quadrant,,66.2,51.1,50.0,51.05
diagonal,,,97.9,50.1,75.65
circle,,,,77.4,48.85
horizontal,,,,,99.65
