task,phase,epoch,train_loss,train_accuracy,epoch_seconds
vertical,1,1,0.75334,50.32,1.595
vertical,1,2,0.60934,71.05,1.165
vertical,1,3,0.48682,90.66,1.178
vertical,1,4,0.31634,95.8,1.155
vertical,1,5,0.18247,98.3,1.147
xor_quadrant,2,1,1.1784,51.01,1.204
xor_quadrant,2,2,0.92378,52.32,1.263
xor_quadrant,2,3,0.77836,54.67,1.321
xor_quadrant,2,4,0.6975,58.33,1.242
xor_quadrant,2,5,0.65953,63.61,1.309
diagonal,3,1,0.4852,87.92,1.276
diagonal,3,2,0.37969,89.79,1.241
diagonal,3,3,0.28987,92.39,1.244
diagonal,3,4,0.21551,94.62,1.334
diagonal,3,5,0.16049,96.52,1.314
circle,4,1,1.17609,53.29,1.214
circle,4,2,0.84304,55.13,1.202
circle,4,3,0.67638,55.95,1.23
circle,4,4,0.59565,62.34,1.219
circle,4,5,0.5557,75.38,1.329
horizontal,5,1,0.58576,67.66,1.249
horizontal,5,2,0.39315,86.49,1.202
horizontal,5,3,0.23213,94.81,1.224
horizontal,5,4,0.13463,98.53,1.203
horizontal,5,5,0.08801,99.18,1.175
