task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,49.6,0.55
xor_quadrant,51.0,15.15,-35.85
diagonal,48.75,22.25,-26.5
circle,50.65,28.55,-22.1
horizontal,0.0,0.0,0.0
