,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,91.45,59.8,52.8,72.0,74.25
vertical,,87.55,51.45,75.35,72.8
circle,,,76.9,55.7,62.85
diagonal,,,,96.55,82.8
xor_quadrant,,,,,65.35
