task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,17.2,-31.85
vertical,51.0,14.75,-36.25
circle,48.75,14.05,-34.7
diagonal,50.65,13.75,-36.9
xor_quadrant,0.0,0.0,0.0
