task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.24302,89.55,0.645
horizontal,1,2,0.03818,98.74,0.423
horizontal,1,3,0.02716,99.07,0.429
horizontal,1,4,0.01888,99.24,0.518
horizontal,1,5,0.01646,99.48,0.503
vertical,2,1,0.65656,84.35,0.509
vertical,2,2,0.04235,98.88,0.516
vertical,2,3,0.02064,99.56,0.496
vertical,2,4,0.02222,99.35,0.503
vertical,2,5,0.01339,99.62,0.498
circle,3,1,0.83096,69.41,0.527
circle,3,2,0.29064,87.63,0.493
circle,3,3,0.08456,97.08,0.504
circle,3,4,0.05746,97.87,0.494
circle,3,5,0.06921,97.43,0.524
diagonal,4,1,0.32707,91.71,0.479
diagonal,4,2,0.05394,98.09,0.493
diagonal,4,3,0.03497,99.04,0.509
diagonal,4,4,0.03315,98.91,0.498
diagonal,4,5,0.04116,98.48,0.494
xor_quadrant,5,1,0.7432,72.54,0.479
xor_quadrant,5,2,0.23476,91.87,0.494
xor_quadrant,5,3,0.08257,96.93,0.49
xor_quadrant,5,4,0.05392,98.09,0.508
xor_quadrant,5,5,0.04566,98.35,0.499
