task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.77172,49.81,1.787
horizontal,1,2,0.63467,67.06,1.383
horizontal,1,3,0.54881,87.75,1.409
horizontal,1,4,0.43339,91.81,1.386
horizontal,1,5,0.29162,95.74,1.362
vertical,2,1,0.87808,53.34,1.513
vertical,2,2,0.71649,57.05,1.31
vertical,2,3,0.60226,63.16,1.484
vertical,2,4,0.49433,74.45,1.628
vertical,2,5,0.37826,85.32,1.711
circle,3,1,0.8364,52.47,1.727
circle,3,2,0.67814,57.73,1.486
circle,3,3,0.61491,66.82,1.592
circle,3,4,0.58101,73.42,1.399
circle,3,5,0.56225,75.63,1.521
diagonal,4,1,0.56609,71.46,1.632
diagonal,4,2,0.4351,91.07,1.355
diagonal,4,3,0.3377,92.81,1.36
diagonal,4,4,0.25655,94.68,1.278
diagonal,4,5,0.18947,96.65,1.303
xor_quadrant,5,1,1.03098,61.12,1.286
xor_quadrant,5,2,0.74629,68.39,1.297
xor_quadrant,5,3,0.64742,69.29,1.274
xor_quadrant,5,4,0.61131,69.58,1.282
xor_quadrant,5,5,0.58964,70.83,1.283
