,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,97.35,60.1,50.8,75.85,74.75
vertical,,89.8,48.9,74.15,74.25
circle,,,77.4,51.25,60.35
diagonal,,,,97.85,79.05
xor_quadrant,,,,,70.35
