task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,22.6,-26.45
vertical,51.0,15.55,-35.45
circle,48.75,17.05,-31.7
diagonal,50.65,18.8,-31.85
xor_quadrant,0.0,0.0,0.0
