,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,95.0,63.5,52.65,74.0,74.65
vertical,,83.85,51.3,73.35,71.6
circle,,,77.05,54.8,62.05
diagonal,,,,97.65,80.4
xor_quadrant,,,,,66.95
