task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.69126,54.26,1.56
horizontal,1,2,0.62737,80.72,1.592
horizontal,1,3,0.5388,86.15,1.493
horizontal,1,4,0.4177,90.0,1.554
horizontal,1,5,0.281,94.16,1.261
vertical,2,1,0.84799,55.02,1.255
vertical,2,2,0.7321,57.42,1.471
vertical,2,3,0.63395,61.43,1.736
vertical,2,4,0.53945,68.03,1.31
vertical,2,5,0.44526,78.44,1.196
circle,3,1,0.82587,52.17,1.254
circle,3,2,0.69096,57.64,1.352
circle,3,3,0.62464,66.17,1.354
circle,3,4,0.58757,74.13,1.395
circle,3,5,0.567,75.86,1.352
diagonal,4,1,0.59182,62.66,1.313
diagonal,4,2,0.47062,88.75,1.304
diagonal,4,3,0.38533,93.18,1.314
diagonal,4,4,0.31106,94.74,1.318
diagonal,4,5,0.25109,96.34,1.308
xor_quadrant,5,1,1.00418,58.54,1.381
xor_quadrant,5,2,0.83022,64.55,1.379
xor_quadrant,5,3,0.7224,65.86,1.344
xor_quadrant,5,4,0.6628,66.21,1.327
xor_quadrant,5,5,0.63051,67.07,1.31
