task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,20.35,-28.7
vertical,51.0,12.25,-38.75
circle,48.75,15.0,-33.75
diagonal,50.65,17.25,-33.4
xor_quadrant,0.0,0.0,0.0
