,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.2,49.3,52.4,74.75,50.35
vertical,,99.6,49.8,74.45,50.05
circle,,,97.2,49.45,50.45
diagonal,,,,99.4,49.5
xor_quadrant,,,,,98.75
