,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.15,49.4,51.55,74.55,50.8
vertical,,98.8,51.35,74.65,49.5
circle,,,97.15,49.35,50.8
diagonal,,,,98.9,49.95
xor_quadrant,,,,,98.9
