,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,97.7,73.9,83.0,76.35,50.1
vertical,,99.7,80.7,50.45,48.9
xor_quadrant,,,65.5,51.55,50.0
horizontal,,,,99.15,50.8
circle,,,,,77.4
