task,phase,epoch,train_loss,train_accuracy,epoch_seconds
diagonal,1,1,0.80861,50.06,1.849
diagonal,1,2,0.68313,50.16,1.262
diagonal,1,3,0.58908,74.94,1.269
diagonal,1,4,0.50804,94.79,1.304
diagonal,1,5,0.41188,97.44,1.295
vertical,2,1,0.43444,80.76,1.428
vertical,2,2,0.34331,88.25,1.373
vertical,2,3,0.25888,93.56,1.403
vertical,2,4,0.18844,97.29,1.427
vertical,2,5,0.13976,99.22,1.441
xor_quadrant,3,1,1.25295,50.09,1.518
xor_quadrant,3,2,1.10096,51.35,1.467
xor_quadrant,3,3,0.9518,53.87,1.437
xor_quadrant,3,4,0.82588,57.7,1.472
xor_quadrant,3,5,0.73425,63.21,1.434
horizontal,4,1,0.57909,68.81,1.515
horizontal,4,2,0.48013,77.06,1.488
horizontal,4,3,0.37542,85.91,1.397
horizontal,4,4,0.27655,93.28,1.352
horizontal,4,5,0.19659,97.5,1.354
circle,5,1,1.09747,50.72,1.392
circle,5,2,0.8733,53.91,1.393
circle,5,3,0.7084,67.01,1.357
circle,5,4,0.63223,75.29,1.347
circle,5,5,0.5922,75.66,1.389
