task,forgetting_phase1,forgetting_phase2,delta
diagonal,49.05,47.6,-1.45
vertical,51.0,50.8,-0.2
xor_quadrant,48.75,15.5,-33.25
horizontal,50.65,48.35,-2.3
circle,0.0,0.0,0.0
