task,phase,epoch,train_loss,train_accuracy,epoch_seconds
diagonal,1,1,0.72753,48.87,1.56
diagonal,1,2,0.64461,76.85,1.171
diagonal,1,3,0.54608,91.02,1.172
diagonal,1,4,0.41608,95.39,1.162
diagonal,1,5,0.27605,98.27,1.329
vertical,2,1,0.39993,80.75,1.36
vertical,2,2,0.26605,89.44,1.474
vertical,2,3,0.18365,94.17,1.573
vertical,2,4,0.13115,96.91,1.245
vertical,2,5,0.09669,98.22,1.508
xor_quadrant,3,1,1.46241,49.65,1.807
xor_quadrant,3,2,1.15802,49.11,1.716
xor_quadrant,3,3,0.96239,49.58,1.292
xor_quadrant,3,4,0.82428,50.46,1.269
xor_quadrant,3,5,0.73439,52.46,1.702
horizontal,4,1,0.60184,61.65,1.444
horizontal,4,2,0.50109,78.66,1.337
horizontal,4,3,0.39301,91.83,1.34
horizontal,4,4,0.28805,96.76,1.491
horizontal,4,5,0.19945,98.24,1.408
circle,5,1,1.01126,51.88,1.328
circle,5,2,0.79423,54.71,1.477
circle,5,3,0.6614,58.07,1.517
circle,5,4,0.57805,58.82,1.86
circle,5,5,0.53535,64.67,1.915
