,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,99.35,48.9,49.7,74.25,71.4
circle,,77.4,49.6,49.55,57.9
horizontal,,,98.2,75.75,73.8
diagonal,,,,99.35,76.2
xor_quadrant,,,,,69.4
