task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,27.95,-21.1
circle,51.0,19.5,-31.5
horizontal,48.75,24.4,-24.35
diagonal,50.65,23.15,-27.5
xor_quadrant,0.0,0.0,0.0
