,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.3,49.0,51.7,76.35,50.8
vertical,,99.5,48.5,72.85,49.9
circle,,,98.3,49.65,50.5
diagonal,,,,98.2,49.95
xor_quadrant,,,,,98.6
