task,phase,epoch,train_loss,train_accuracy,epoch_seconds
xor_quadrant,1,1,0.47217,72.91,0.578
xor_quadrant,1,2,0.06767,97.5,0.367
xor_quadrant,1,3,0.04915,98.05,0.363
xor_quadrant,1,4,0.04643,98.2,0.364
xor_quadrant,1,5,0.04939,98.06,0.39
vertical,2,1,0.27226,93.49,0.421
vertical,2,2,0.02026,99.46,0.389
vertical,2,3,0.03505,98.82,0.374
vertical,2,4,0.01867,99.4,0.357
vertical,2,5,0.02295,99.15,0.351
horizontal,3,1,0.5399,87.04,0.376
horizontal,3,2,0.03765,99.04,0.409
horizontal,3,3,0.02137,99.43,0.375
horizontal,3,4,0.01983,99.43,0.365
horizontal,3,5,0.01946,99.39,0.353
diagonal,4,1,0.24499,92.93,0.359
diagonal,4,2,0.04623,98.49,0.378
diagonal,4,3,0.0314,98.83,0.41
diagonal,4,4,0.03403,98.87,0.402
diagonal,4,5,0.02789,98.91,0.375
circle,5,1,0.73473,77.4,0.374
circle,5,2,0.09896,96.52,0.367
circle,5,3,0.0526,98.2,0.368
circle,5,4,0.04631,98.2,0.375
circle,5,5,0.04442,98.28,0.375
