,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,97.65,49.15,49.55,48.45,49.9
vertical,,99.3,49.2,74.9,50.65
horizontal,,,99.7,74.6,51.15
diagonal,,,,99.65,51.1
circle,,,,,98.8
