,after_t1,after_t2,after_t3,after_t4,after_t5
sentiment,100.0,100.0,100.0,100.0,100.0
spelling,,100.0,100.0,100.0,100.0
capital,,,100.0,100.0,100.0
plural,,,,100.0,100.0
antonym,,,,,100.0
