task,phase,epoch,train_loss,train_accuracy,epoch_seconds
circle,1,1,0.73867,40.29,1.533
circle,1,2,0.58957,76.08,1.17
circle,1,3,0.55343,76.1,1.721
circle,1,4,0.54756,76.1,1.79
circle,1,5,0.54235,76.1,1.708
vertical,2,1,0.7867,50.33,1.411
vertical,2,2,0.66642,57.51,1.489
vertical,2,3,0.57171,88.55,1.281
vertical,2,4,0.43913,96.01,1.308
vertical,2,5,0.27581,98.46,1.291
xor_quadrant,3,1,0.9835,49.19,1.244
xor_quadrant,3,2,0.80307,48.73,1.352
xor_quadrant,3,3,0.71258,49.89,1.375
xor_quadrant,3,4,0.66404,56.25,1.311
xor_quadrant,3,5,0.6288,62.08,1.223
diagonal,4,1,0.53256,80.89,1.269
diagonal,4,2,0.43064,85.81,1.245
diagonal,4,3,0.33243,89.7,1.356
diagonal,4,4,0.24468,93.5,1.298
diagonal,4,5,0.1716,96.29,1.215
horizontal,5,1,0.4336,80.64,1.256
horizontal,5,2,0.21594,91.7,1.306
horizontal,5,3,0.11235,98.0,1.329
horizontal,5,4,0.07102,99.29,1.224
horizontal,5,5,0.05023,99.43,1.376
