task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,24.85,-24.2
vertical,51.0,50.35,-0.65
xor_quadrant,48.75,15.55,-33.2
diagonal,50.65,22.7,-27.95
horizontal,0.0,0.0,0.0
