task,initial_accuracy,best_accuracy,final_accuracy,forgetting
circle,74.9,74.9,50.05,24.85
vertical,99.5,99.5,49.15,50.35
xor_quadrant,65.6,65.6,50.05,15.55
diagonal,97.7,97.7,75.0,22.7
horizontal,99.75,99.75,99.75,0.0
