task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.71048,50.41,1.457
horizontal,1,2,0.63334,85.66,1.115
horizontal,1,3,0.52979,89.33,1.112
horizontal,1,4,0.37917,94.6,1.175
horizontal,1,5,0.22943,97.97,1.187
vertical,2,1,1.02895,51.77,1.281
vertical,2,2,0.81218,55.99,1.31
vertical,2,3,0.63405,62.43,1.48
vertical,2,4,0.49431,73.03,1.386
vertical,2,5,0.37882,84.11,1.335
circle,3,1,0.81572,52.87,1.353
circle,3,2,0.68161,55.9,1.318
circle,3,3,0.61101,61.47,1.276
circle,3,4,0.57022,70.96,1.27
circle,3,5,0.54709,76.01,1.297
diagonal,4,1,0.54157,68.47,1.29
diagonal,4,2,0.40587,90.32,1.709
diagonal,4,3,0.31847,91.51,1.647
diagonal,4,4,0.25104,93.36,1.497
diagonal,4,5,0.19649,95.4,1.552
xor_quadrant,5,1,1.0972,60.13,1.443
xor_quadrant,5,2,0.84277,67.86,1.387
xor_quadrant,5,3,0.70957,68.68,1.506
xor_quadrant,5,4,0.6397,69.19,1.466
xor_quadrant,5,5,0.6079,69.53,1.46
