,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.95,63.0,49.05,75.25,72.95
vertical,,86.45,50.3,74.2,73.8
circle,,,76.85,54.55,60.35
diagonal,,,,96.25,77.45
xor_quadrant,,,,,69.95
