task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,26.0,-23.05
vertical,51.0,12.65,-38.35
circle,48.75,16.5,-32.25
diagonal,50.65,18.8,-31.85
xor_quadrant,0.0,0.0,0.0
