,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,99.55,49.05,52.85,74.1,71.1
circle,,77.25,50.05,50.5,57.7
horizontal,,,96.75,75.9,75.2
diagonal,,,,98.6,78.1
xor_quadrant,,,,,68.6
