task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,28.45,-20.6
circle,51.0,19.55,-31.45
horizontal,48.75,21.55,-27.2
diagonal,50.65,20.5,-30.15
xor_quadrant,0.0,0.0,0.0
