task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.65343,70.13,2.092
horizontal,1,2,0.59381,79.84,1.51
horizontal,1,3,0.50437,86.05,2.074
horizontal,1,4,0.37703,90.62,1.841
horizontal,1,5,0.23697,94.69,1.806
vertical,2,1,0.8905,54.49,1.847
vertical,2,2,0.70859,56.94,1.439
vertical,2,3,0.58457,62.67,1.583
vertical,2,4,0.4777,75.35,1.773
vertical,2,5,0.3719,87.15,1.566
circle,3,1,0.81589,51.61,1.4
circle,3,2,0.64517,60.52,1.398
circle,3,3,0.57991,74.6,1.339
circle,3,4,0.54651,76.56,1.36
circle,3,5,0.52725,76.56,1.327
diagonal,4,1,0.56788,70.73,1.414
diagonal,4,2,0.3853,90.47,1.917
diagonal,4,3,0.2801,93.61,1.846
diagonal,4,4,0.21211,96.15,1.619
diagonal,4,5,0.16536,97.31,1.484
xor_quadrant,5,1,1.18477,59.44,1.622
xor_quadrant,5,2,0.80924,66.56,1.601
xor_quadrant,5,3,0.67364,66.95,1.605
xor_quadrant,5,4,0.63364,67.27,1.74
xor_quadrant,5,5,0.6097,68.52,1.772
