,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,96.8,58.8,50.85,77.0,71.1
vertical,,90.6,50.45,72.4,74.5
circle,,,75.5,51.15,57.75
diagonal,,,,97.25,74.75
xor_quadrant,,,,,69.55
