task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,25.7,-23.35
vertical,51.0,16.1,-34.9
circle,48.75,17.75,-31.0
diagonal,50.65,22.5,-28.15
xor_quadrant,0.0,0.0,0.0
