,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,97.45,92.1,50.85,76.6,49.2
xor_quadrant,,48.15,50.5,51.55,49.35
circle,,,75.5,55.85,51.05
diagonal,,,,93.65,74.65
vertical,,,,,99.5
