task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,48.25,-0.8
xor_quadrant,51.0,2.2,-48.8
circle,48.75,24.45,-24.3
diagonal,50.65,19.0,-31.65
vertical,0.0,0.0,0.0
