,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,51.1,51.1,51.1,51.1,51.1
vertical,,50.0,50.0,50.0,50.0
circle,,,74.9,74.9,74.9
diagonal,,,,49.95,49.95
xor_quadrant,,,,,50.8
