,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.2,66.85,50.8,75.85,74.9
vertical,,82.95,48.9,74.05,75.0
circle,,,77.4,53.65,60.6
diagonal,,,,95.45,82.1
xor_quadrant,,,,,68.2
