task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,23.3,-25.75
vertical,51.0,7.95,-43.05
circle,48.75,16.8,-31.95
diagonal,50.65,13.35,-37.3
xor_quadrant,0.0,0.0,0.0
