task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.7666,49.81,1.906
horizontal,1,2,0.63077,67.29,1.789
horizontal,1,3,0.5363,88.21,1.364
horizontal,1,4,0.40465,92.47,1.401
horizontal,1,5,0.25796,96.47,1.289
vertical,2,1,0.96917,52.28,1.241
vertical,2,2,0.81437,54.94,1.502
vertical,2,3,0.68895,59.12,1.474
vertical,2,4,0.57267,66.13,1.516
vertical,2,5,0.46183,77.13,1.357
circle,3,1,0.80418,55.38,1.275
circle,3,2,0.67676,58.35,1.261
circle,3,3,0.62099,65.69,1.229
circle,3,4,0.58896,71.26,1.352
circle,3,5,0.57066,75.09,1.411
diagonal,4,1,0.59424,65.66,1.342
diagonal,4,2,0.47776,88.82,1.25
diagonal,4,3,0.39403,91.55,1.288
diagonal,4,4,0.32004,93.02,1.987
diagonal,4,5,0.25714,94.3,1.924
xor_quadrant,5,1,0.90718,61.16,1.706
xor_quadrant,5,2,0.75231,67.53,1.316
xor_quadrant,5,3,0.67664,68.34,1.335
xor_quadrant,5,4,0.63746,67.85,1.266
xor_quadrant,5,5,0.61392,68.92,1.351
