task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,28.7,-20.35
vertical,51.0,48.7,-2.3
xor_quadrant,48.75,11.7,-37.05
diagonal,50.65,18.75,-31.9
horizontal,0.0,0.0,0.0
