task,phase,epoch,train_loss,train_accuracy,epoch_seconds
circle,1,1,1.07264,24.34,1.851
circle,1,2,0.75839,37.31,1.357
circle,1,3,0.59113,75.64,1.4
circle,1,4,0.55831,75.66,1.256
circle,1,5,0.55567,75.66,1.235
vertical,2,1,0.76206,49.68,1.446
vertical,2,2,0.65977,55.75,1.288
vertical,2,3,0.58045,89.11,1.595
vertical,2,4,0.47926,96.56,1.555
vertical,2,5,0.36176,98.51,2.012
xor_quadrant,3,1,0.8162,50.35,2.039
xor_quadrant,3,2,0.734,52.84,2.187
xor_quadrant,3,3,0.6873,56.23,2.08
xor_quadrant,3,4,0.65908,60.3,2.298
xor_quadrant,3,5,0.63754,61.47,2.182
diagonal,4,1,0.50333,84.72,1.996
diagonal,4,2,0.42881,86.9,1.613
diagonal,4,3,0.35987,89.37,1.745
diagonal,4,4,0.29758,91.48,1.706
diagonal,4,5,0.24153,93.44,1.919
horizontal,5,1,0.3869,80.77,1.541
horizontal,5,2,0.23585,90.55,1.42
horizontal,5,3,0.1544,95.24,1.412
horizontal,5,4,0.10408,97.91,1.396
horizontal,5,5,0.07449,99.0,1.385
