,after_t1,after_t2,after_t3,after_t4,after_t5
circle,77.4,50.6,64.4,54.35,48.7
vertical,,98.8,76.7,74.75,50.1
xor_quadrant,,,62.9,53.85,51.2
diagonal,,,,94.75,76.0
horizontal,,,,,99.6
