,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,98.4,83.75,74.7,52.6,49.1
xor_quadrant,,59.75,50.3,53.4,50.6
diagonal,,,97.95,52.55,74.95
circle,,,,72.3,51.0
horizontal,,,,,99.0
