task,initial_accuracy,best_accuracy,final_accuracy,forgetting
vertical,98.4,98.4,49.1,49.3
xor_quadrant,59.75,59.75,50.6,9.15
diagonal,97.95,97.95,74.95,23.0
circle,72.3,72.3,51.0,21.3
horizontal,99.0,99.0,99.0,0.0
