task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,98.5,98.5,77.95,20.55
vertical,88.45,88.45,71.2,17.25
circle,75.7,75.7,61.5,14.2
diagonal,96.45,96.45,82.65,13.8
xor_quadrant,66.15,66.15,66.15,0.0
