,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.5,60.5,50.15,74.05,77.95
vertical,,88.45,51.1,75.2,71.2
circle,,,75.7,54.0,61.5
diagonal,,,,96.45,82.65
xor_quadrant,,,,,66.15
