task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,20.55,-28.5
vertical,51.0,17.25,-33.75
circle,48.75,14.2,-34.55
diagonal,50.65,13.8,-36.85
xor_quadrant,0.0,0.0,0.0
