task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.69702,49.61,1.784
horizontal,1,2,0.65435,76.34,1.432
horizontal,1,3,0.59311,93.27,1.387
horizontal,1,4,0.50658,96.58,1.373
horizontal,1,5,0.38861,97.93,1.504
vertical,2,1,0.7609,53.1,1.554
vertical,2,2,0.67087,57.46,1.59
vertical,2,3,0.58434,64.82,1.532
vertical,2,4,0.49765,75.71,1.6
vertical,2,5,0.41131,84.49,1.499
circle,3,1,0.80511,49.04,1.534
circle,3,2,0.69865,55.7,1.547
circle,3,3,0.63725,66.85,1.543
circle,3,4,0.59804,73.09,1.508
circle,3,5,0.57247,76.02,1.438
diagonal,4,1,0.61563,59.45,1.49
diagonal,4,2,0.48402,88.62,1.404
diagonal,4,3,0.41422,92.8,1.388
diagonal,4,4,0.34676,95.43,1.523
diagonal,4,5,0.28365,96.46,1.603
xor_quadrant,5,1,0.87897,61.06,1.444
xor_quadrant,5,2,0.76488,66.85,2.158
xor_quadrant,5,3,0.69398,67.37,1.437
xor_quadrant,5,4,0.65007,67.01,1.499
xor_quadrant,5,5,0.62197,67.08,1.476
