task,forgetting_phase1,forgetting_phase2,delta
diagonal,49.05,46.9,-2.15
horizontal,51.0,47.1,-3.9
vertical,48.75,28.1,-20.65
xor_quadrant,50.65,12.2,-38.45
circle,0.0,0.0,0.0
