,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,95.6,76.6,96.4,85.5,49.5
horizontal,,97.95,77.25,70.95,50.85
vertical,,,72.05,78.55,50.45
xor_quadrant,,,,62.7,50.5
circle,,,,,75.5
