task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,26.2,-22.85
circle,51.0,20.1,-30.9
horizontal,48.75,25.85,-22.9
diagonal,50.65,20.3,-30.35
xor_quadrant,0.0,0.0,0.0
