,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,98.15,50.45,50.6,72.55,71.95
circle,,75.5,51.55,54.0,55.4
horizontal,,,97.6,76.75,71.75
diagonal,,,,95.5,75.2
xor_quadrant,,,,,67.2
