,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.45,48.7,49.25,75.15,50.4
vertical,,99.5,48.85,74.05,48.5
circle,,,98.65,50.05,49.9
diagonal,,,,99.1,48.45
xor_quadrant,,,,,99.1
