,after_t1,after_t2,after_t3,after_t4,after_t5
circle,99.05,50.7,49.5,49.6,49.65
vertical,,98.75,73.45,48.85,49.6
diagonal,,,97.3,73.9,45.75
horizontal,,,,99.25,47.1
xor_quadrant,,,,,97.45
