,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,67.0,51.0,49.3,50.5,49.4
diagonal,,97.2,74.9,49.5,77.0
vertical,,,99.55,50.45,51.95
circle,,,,75.5,51.5
horizontal,,,,,97.05
