task,initial_accuracy,best_accuracy,final_accuracy,forgetting
xor_quadrant,67.0,67.0,49.4,17.6
diagonal,97.2,97.2,77.0,20.2
vertical,99.55,99.55,51.95,47.6
circle,75.5,75.5,51.5,24.0
horizontal,97.05,97.05,97.05,0.0
