task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,17.6,-31.45
diagonal,51.0,20.2,-30.8
vertical,48.75,47.6,-1.15
circle,50.65,24.0,-26.65
horizontal,0.0,0.0,0.0
