task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,1.45,-47.6
vertical,51.0,25.15,-25.85
horizontal,48.75,20.3,-28.45
diagonal,50.65,21.45,-29.2
circle,0.0,0.0,0.0
