task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,21.3,-27.75
vertical,51.0,10.9,-40.1
circle,48.75,15.9,-32.85
diagonal,50.65,12.25,-38.4
xor_quadrant,0.0,0.0,0.0
