,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,95.65,63.25,51.25,75.2,74.35
vertical,,86.55,49.35,74.7,75.65
circle,,,76.95,53.1,61.05
diagonal,,,,96.0,83.75
xor_quadrant,,,,,66.65
