task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,25.15,-23.9
vertical,51.0,62.65,11.65
diagonal,48.75,40.3,-8.45
horizontal,50.65,22.6,-28.05
xor_quadrant,0.0,0.0,0.0
